ThreatScore,AttackType,Timestamp,SourceIP
0.2743,1,1748487882,251.26.141.89
0.7506,0,1748080685,79.123.131.232
0.1491,2,1749250457,244.154.130.177
0.9355,2,1747221831,74.2.66.76
0.9659,0,1748874160,123.24.125.123
0.7911,1,1749235689,199.160.150.75
0.934,0,1748453111,36.202.140.193
0.2735,2,1748261672,8.38.145.246
0.6522,1,1747636966,167.120.139.88
0.5528,2,1749237245,181.183.129.187
0.506,0,1747668446,79.12.156.73
0.8482,1,1748961963,247.142.86.141
0.2876,0,1747749361,124.206.64.41
0.9894,0,1747433566,174.74.229.76
0.6647,0,1747233671,190.27.220.216
0.0639,1,1748162433,70.236.143.35
0.68,1,1749447557,40.160.182.246
0.5205,2,1747657682,215.68.167.12
0.1433,2,1748964715,201.163.223.196
0.2426,1,1749645248,67.86.199.12
0.3927,1,1749201387,69.213.118.42
0.4166,1,1747859255,89.133.174.215
0.5507,1,1749564551,110.47.236.159
0.1241,2,1748970916,183.251.22.134
0.4486,0,1747341913,214.119.43.80
0.7542,2,1748034800,70.163.146.5
0.4803,1,1749549729,234.55.160.186
0.8841,0,1749375247,190.148.138.219
0.3396,2,1749494013,50.242.237.173
0.3813,0,1747374076,160.119.8.161
0.8929,0,1747560896,240.173.117.64
0.3073,0,1747516109,193.3.147.205
0.9929,0,1747366725,145.150.67.19
0.0742,2,1749196871,63.27.55.235
0.1919,2,1749360864,135.112.155.133
0.7721,0,1747744817,16.221.98.14
0.7196,0,1748448456,160.129.149.152
0.081,2,1749260188,175.189.45.122
0.0606,2,1747762128,25.194.219.82
0.0851,0,1748581379,124.127.175.242
0.1063,1,1747580279,205.102.71.112
0.9532,1,1747533979,105.85.253.36
0.347,2,1748283380,214.156.35.216
0.4254,1,1748025372,31.28.241.67
0.4883,2,1748208920,22.156.247.183
0.2551,2,1748784237,242.7.89.43
0.7281,2,1748491133,193.160.73.67
0.0218,1,1748098376,248.165.178.130
0.4636,1,1749628937,249.97.107.161
0.588,1,1749123086,178.142.145.248
0.5129,0,1748263592,50.219.195.250
0.5549,1,1748701298,214.81.24.122
0.4098,1,1747227927,93.224.169.246
0.5193,2,1747996546,236.32.19.138
0.2997,2,1748422106,241.68.82.117
0.5957,0,1749522302,85.206.168.156
0.2807,0,1747643755,170.71.195.198
0.6881,2,1749016707,14.119.212.113
0.031,2,1749197497,198.67.129.204
0.2857,2,1748554896,60.141.154.230
0.2479,2,1747438508,45.68.2.170
0.2765,1,1747785728,40.194.251.55
0.0066,2,1748439945,212.15.250.136
0.5761,0,1749364244,54.233.9.180
0.182,0,1749384766,228.193.105.6
0.274,2,1747979074,64.132.75.165
0.5704,0,1747373501,84.203.149.248
0.0313,1,1749639137,148.217.96.181
0.6653,2,1749276113,19.244.242.98
0.1588,0,1747223369,76.157.103.46
0.3042,0,1749621881,172.14.249.221
0.2327,1,1748532695,14.63.153.55
0.5064,1,1748209401,147.7.59.157
0.0432,1,1749015880,111.42.215.216
0.7842,1,1749417594,64.254.187.114
0.7751,1,1747123060,176.179.34.174
0.1633,2,1748882421,131.112.219.89
0.5121,0,1747093878,60.126.234.233
0.1587,2,1748686485,252.250.125.145
0.2259,2,1747100186,72.98.80.117
0.8767,0,1749553194,146.100.161.51
0.1295,1,1748894796,5.175.155.98
0.9245,2,1748230133,245.181.253.75
0.1174,2,1747205452,70.190.245.169
0.5157,0,1748446311,243.5.164.206
0.7703,0,1747226875,83.135.54.152
0.842,1,1747415084,248.90.121.151
0.3923,1,1747880459,99.167.23.84
0.716,0,1747962183,21.134.39.184
0.1658,1,1747939176,214.146.84.147
0.7139,1,1748777830,103.56.156.160
0.0919,1,1749367573,139.241.132.202
0.1027,1,1748983257,147.189.216.128
0.9538,1,1748185228,185.79.199.65
0.9655,1,1749321884,112.28.82.184
0.3105,1,1748793212,193.10.69.224
0.4568,1,1747322132,189.105.113.251
0.7064,2,1749526361,119.47.10.182
0.6946,2,1747862438,135.103.226.205
0.3164,2,1748430495,59.228.22.221
0.7257,1,1747981052,81.42.123.3
0.58,2,1748680019,74.94.82.95
0.6131,1,1747461300,234.247.227.31
0.7775,2,1748966858,133.31.38.253
0.8146,1,1747257755,126.56.239.149
0.1381,1,1748790667,23.56.108.58
0.5093,0,1748266408,122.128.151.209
0.1925,1,1749434607,8.110.30.67
0.7898,1,1748249000,80.237.9.203
0.9744,2,1747417605,151.231.198.137
0.899,1,1747200834,122.205.39.226
0.4753,0,1748699704,204.137.91.191
0.7609,0,1749335364,111.6.231.218
0.041,0,1749211288,19.145.182.19
0.0205,2,1747430743,236.246.79.65
0.3314,1,1749442695,184.124.11.178
0.2477,1,1749119074,215.23.5.175
0.9546,1,1748520528,191.22.249.12
0.7484,1,1749456332,118.110.6.200
0.5651,2,1747428626,133.104.181.26
0.7562,0,1747609587,238.225.155.17
0.0944,1,1748674966,194.40.111.171
0.2798,0,1749359587,128.64.7.53
0.7474,0,1747726883,171.53.222.124
0.39,0,1747206991,230.45.232.241
0.2133,1,1748142590,235.31.84.122
0.4913,0,1748834019,82.80.23.204
0.2866,0,1748753561,22.61.223.44
0.3454,1,1747341185,196.232.5.38
0.3071,2,1748238633,149.40.66.195
0.8829,2,1748680130,27.55.206.183
0.2552,1,1749318646,202.244.127.182
0.1018,0,1747171302,65.34.29.43
0.1948,0,1747445705,26.79.140.123
0.9383,0,1748097716,193.140.210.44
0.1006,2,1749093858,153.85.132.121
0.9637,1,1747245221,118.89.228.53
0.9162,0,1747808867,120.106.250.127
0.8707,2,1747364009,124.85.61.29
0.2019,1,1749163437,68.113.138.57
0.9366,1,1747820052,164.244.152.78
0.2925,0,1747498143,241.124.26.147
0.2244,0,1748582166,99.61.242.35
0.3295,1,1748808935,207.182.184.90
0.0423,0,1748881584,247.230.144.218
0.2492,2,1747100707,90.237.77.105
0.341,2,1749634304,213.191.69.233
0.6494,1,1747431437,151.234.76.79
0.077,2,1748252488,206.102.167.248
0.7617,1,1747675505,70.54.119.141
0.9387,0,1747873942,62.186.250.196
0.5424,1,1747467387,129.154.28.176
0.0403,2,1747593022,124.137.212.99
0.5384,1,1748554347,145.178.22.71
0.3047,2,1747164770,33.149.213.212
0.7878,0,1749073948,8.137.64.100
0.1041,0,1748473047,114.8.11.171
0.9128,0,1747337691,34.252.47.199
0.7586,1,1747702317,71.229.71.25
0.775,2,1748451664,7.216.117.86
0.6677,0,1747983239,149.84.91.65
0.4864,2,1749059374,245.62.231.233
